Stad,År,Befolkning
Karlskrona,1830,11680
Karlskrona,1840,12456
Karlskrona,1850,14097
Karlskrona,1860,15300
Karlskrona,1870,16558
Karlskrona,1880,18300
Karlskrona,1890,20613
Karlskrona,1900,23955
Karlskrona,1910,27434
Karlskrona,1920,27056
Karlskrona,1930,25491
Karlskrona,1940,29604
Karlskrona,1950,31218
Karlskrona,1960,32977
Karlskrona,1965,31688
Karlskrona,1967,37249
Karlstad,1800,2165
Karlstad,1810,2219
Karlstad,1820,2583
Karlstad,1830,2676
Karlstad,1840,3108
Karlstad,1850,3807
Karlstad,1860,4514
Karlstad,1870,5608
Karlstad,1880,7772
Karlstad,1890,8716
Karlstad,1900,11869
Karlstad,1910,17192
Karlstad,1920,19248
Karlstad,1930,20911
Karlstad,1940,28878
Karlstad,1950,35625
Karlstad,1960,43064
Karlstad,1965,48318
Karlstad,1967,53208
Katrineholm,1800,NA
Katrineholm,1810,NA
Katrineholm,1820,NA
Katrineholm,1830,NA
Katrineholm,1840,NA
Katrineholm,1850,NA
Katrineholm,1860,NA
Katrineholm,1870,NA
Katrineholm,1880,NA
Katrineholm,1890,NA
Katrineholm,1900,NA
Katrineholm,1910,NA
Katrineholm,1920,7948
Katrineholm,1930,7805
Katrineholm,1940,10894
Katrineholm,1950,14522
Katrineholm,1960,19015
Katrineholm,1965,21450
Katrineholm,1967,21674
Kiruna,1800,NA
Kiruna,1810,NA
Kiruna,1820,NA
Kiruna,1830,NA
Kiruna,1840,NA
Kiruna,1850,NA
Kiruna,1860,NA
Kiruna,1870,NA
Kiruna,1880,NA
Kiruna,1890,NA
Kiruna,1900,NA
Kiruna,1910,NA
Kiruna,1920,NA
Kiruna,1930,NA
Kiruna,1940,NA
Kiruna,1950,19105
Kiruna,1960,26804
Kiruna,1965,28343
Kiruna,1967,28968
Kramfors,1800,NA
Kramfors,1810,NA
Kramfors,1820,NA
Kramfors,1830,NA
Kramfors,1840,NA
Kramfors,1850,NA
Kramfors,1860,NA
Kramfors,1870,NA
Kramfors,1880,NA
Kramfors,1890,NA
Kramfors,1900,NA
Kramfors,1910,NA
Kramfors,1920,NA
Kramfors,1930,NA
Kramfors,1940,NA
Kramfors,1950,13829
Kramfors,1960,12418
Kramfors,1965,11978
Kramfors,1967,11723
Kristianstad,1800,2369
Kristianstad,1810,2713
Kristianstad,1820,3512
Kristianstad,1830,4523
Kristianstad,1840,4540
Kristianstad,1850,5440
Kristianstad,1860,5733
Kristianstad,1870,7962
Kristianstad,1880,9203
Kristianstad,1890,10670
Kristianstad,1900,10318
Kristianstad,1910,11569
Kristianstad,1920,12740
Kristianstad,1930,13516
Kristianstad,1940,16345
Kristianstad,1950,24038
Kristianstad,1960,25813
Kristianstad,1965,27527
Kristianstad,1967,42456
Kristinehamn,1800,1400
Kristinehamn,1810,1282
Kristinehamn,1820,1469
Kristinehamn,1830,1704
Kristinehamn,1840,1721
Kristinehamn,1850,2056
Kristinehamn,1860,2636
Kristinehamn,1870,3577
Kristinehamn,1880,5039
Kristinehamn,1890,5933
Kristinehamn,1900,6775
Kristinehamn,1910,8761
Kristinehamn,1920,11514
Kristinehamn,1930,12434
Kristinehamn,1940,13451
Kristinehamn,1950,17489
Kristinehamn,1960,21547
Kristinehamn,1965,21690
Kristinehamn,1967,21915
Kumla,1800,NA
Kumla,1810,NA
Kumla,1820,NA
Kumla,1830,NA
Kumla,1840,NA
Kumla,1850,NA
Kumla,1860,NA
Kumla,1870,NA
Kumla,1880,NA
Kumla,1890,NA
Kumla,1900,NA
Kumla,1910,NA
Kumla,1920,NA
Kumla,1930,NA
Kumla,1940,NA
Kumla,1950,8924
Kumla,1960,9997
Kumla,1965,10367
Kumla,1967,15063
Kungsbacka,1800,342
Kungsbacka,1810,347
Kungsbacka,1820,439
Kungsbacka,1830,456
Kungsbacka,1840,473
Kungsbacka,1850,577
Kungsbacka,1860,539
Kungsbacka,1870,575
Kungsbacka,1880,620
Kungsbacka,1890,771
Kungsbacka,1900,961
Kungsbacka,1910,1120
Kungsbacka,1920,1372
Kungsbacka,1930,2017
Kungsbacka,1940,2365
Kungsbacka,1950,2991
Kungsbacka,1960,5020
Kungsbacka,1965,6255
Kungsbacka,1967,7231
Kungälv,1800,774
Kungälv,1810,864
Kungälv,1820,756
Kungälv,1830,820
Kungälv,1840,749
Kungälv,1850,867
Kungälv,1860,947
Kungälv,1870,890
Kungälv,1880,971
Kungälv,1890,989
Kungälv,1900,1110
Kungälv,1910,1731
Kungälv,1920,2051
Kungälv,1930,2385
Kungälv,1940,3298
Kungälv,1950,3960
Kungälv,1960,6896
Kungälv,1965,10281
Kungälv,1967,11234
Köping,1800,1323
Köping,1810,1143
Köping,1820,1199
Köping,1830,1402
Köping,1840,1483
Köping,1850,1501
Köping,1860,1763
Köping,1870,2287
Köping,1880,2952
Köping,1890,3865
Köping,1900,4657
Köping,1910,4919
Köping,1920,6610
Köping,1930,6395
Köping,1940,7496
Köping,1950,13492
Köping,1960,17692
Köping,1965,20041
Köping,1967,20740
Laholm,1800,817
Laholm,1810,864
Laholm,1820,854
Laholm,1830,916
Laholm,1840,993
Laholm,1850,1102
Laholm,1860,1251
Laholm,1870,1382
Laholm,1880,1496
Laholm,1890,1591
Laholm,1900,1841
Laholm,1910,1932
Laholm,1920,2179
Laholm,1930,2686
Laholm,1940,2654
Laholm,1950,3053
Laholm,1960,3530
Laholm,1965,3855
Laholm,1967,3879
Landskrona,1800,3827
Landskrona,1810,2831
Landskrona,1820,3488
Landskrona,1830,3523
Landskrona,1840,3800
Landskrona,1850,4139
Landskrona,1860,5703
Landskrona,1870,7821
Landskrona,1880,9763
Landskrona,1890,12253
Landskrona,1900,14399
Landskrona,1910,16041
Landskrona,1920,20172
Landskrona,1930,18534
Landskrona,1940,20908
Landskrona,1950,25143
Landskrona,1960,28826
Landskrona,1965,29367
Landskrona,1967,32125
