Kommun,Civilstånd,Ålder,Kön,År,Antal
1280 Malmö,ogifta,3,Kvinnor,1988,1151
1280 Malmö,ogifta,3,Kvinnor,1989,1228
1280 Malmö,ogifta,3,Kvinnor,1990,1162
1280 Malmö,ogifta,3,Kvinnor,1991,1288
1280 Malmö,ogifta,3,Kvinnor,1992,1396
1280 Malmö,ogifta,3,Kvinnor,1993,1481
1280 Malmö,ogifta,3,Kvinnor,1994,1394
1280 Malmö,ogifta,3,Kvinnor,1995,1490
1280 Malmö,ogifta,3,Kvinnor,1996,1483
1280 Malmö,ogifta,3,Kvinnor,1997,1464
1280 Malmö,ogifta,3,Kvinnor,1998,1459
1280 Malmö,ogifta,3,Kvinnor,1999,1292
1280 Malmö,ogifta,3,Kvinnor,2000,1306
1280 Malmö,ogifta,3,Kvinnor,2001,1262
1280 Malmö,ogifta,3,Kvinnor,2002,1334
1280 Malmö,ogifta,3,Kvinnor,2003,1315
1280 Malmö,ogifta,3,Kvinnor,2004,1280
1280 Malmö,ogifta,3,Kvinnor,2005,1360
1280 Malmö,ogifta,3,Kvinnor,2006,1445
1280 Malmö,ogifta,3,Kvinnor,2007,1477
1280 Malmö,ogifta,3,Kvinnor,2008,1633
1280 Malmö,ogifta,3,Kvinnor,2009,1726
1280 Malmö,ogifta,3,Kvinnor,2010,1785
1280 Malmö,ogifta,3,Kvinnor,2011,1996
1280 Malmö,ogifta,3,Kvinnor,2012,2042
1280 Malmö,ogifta,3,Kvinnor,2013,2212
1280 Malmö,ogifta,3,Kvinnor,2014,2149
1280 Malmö,ogifta,3,Kvinnor,2015,2262
1280 Malmö,ogifta,3,Kvinnor,2016,2292
1280 Malmö,ogifta,3,Kvinnor,2017,2237
1280 Malmö,ogifta,3,Kvinnor,2018,2221
1280 Malmö,ogifta,3,Kvinnor,2019,2309
1280 Malmö,ogifta,3,Kvinnor,2020,2207
1280 Malmö,ogifta,4,Män,1968,1796
1280 Malmö,ogifta,4,Män,1969,1862
1280 Malmö,ogifta,4,Män,1970,1815
1280 Malmö,ogifta,4,Män,1971,1750
1280 Malmö,ogifta,4,Män,1972,1520
1280 Malmö,ogifta,4,Män,1973,1323
1280 Malmö,ogifta,4,Män,1974,1315
1280 Malmö,ogifta,4,Män,1975,1305
1280 Malmö,ogifta,4,Män,1976,1234
1280 Malmö,ogifta,4,Män,1977,1242
1280 Malmö,ogifta,4,Män,1978,1209
1280 Malmö,ogifta,4,Män,1979,1134
1280 Malmö,ogifta,4,Män,1980,1111
1280 Malmö,ogifta,4,Män,1981,1090
1280 Malmö,ogifta,4,Män,1982,1039
1280 Malmö,ogifta,4,Män,1983,1112
1280 Malmö,ogifta,4,Män,1984,1063
1280 Malmö,ogifta,4,Män,1985,1135
1280 Malmö,ogifta,4,Män,1986,1075
1280 Malmö,ogifta,4,Män,1987,1183
1280 Malmö,ogifta,4,Män,1988,1124
1280 Malmö,ogifta,4,Män,1989,1175
1280 Malmö,ogifta,4,Män,1990,1221
1280 Malmö,ogifta,4,Män,1991,1304
1280 Malmö,ogifta,4,Män,1992,1397
1280 Malmö,ogifta,4,Män,1993,1461
1280 Malmö,ogifta,4,Män,1994,1531
1280 Malmö,ogifta,4,Män,1995,1588
1280 Malmö,ogifta,4,Män,1996,1570
1280 Malmö,ogifta,4,Män,1997,1535
1280 Malmö,ogifta,4,Män,1998,1495
1280 Malmö,ogifta,4,Män,1999,1521
1280 Malmö,ogifta,4,Män,2000,1349
1280 Malmö,ogifta,4,Män,2001,1388
1280 Malmö,ogifta,4,Män,2002,1365
1280 Malmö,ogifta,4,Män,2003,1298
1280 Malmö,ogifta,4,Män,2004,1317
1280 Malmö,ogifta,4,Män,2005,1300
1280 Malmö,ogifta,4,Män,2006,1427
1280 Malmö,ogifta,4,Män,2007,1424
1280 Malmö,ogifta,4,Män,2008,1573
1280 Malmö,ogifta,4,Män,2009,1661
1280 Malmö,ogifta,4,Män,2010,1876
1280 Malmö,ogifta,4,Män,2011,1862
1280 Malmö,ogifta,4,Män,2012,2007
1280 Malmö,ogifta,4,Män,2013,2153
1280 Malmö,ogifta,4,Män,2014,2238
1280 Malmö,ogifta,4,Män,2015,2146
1280 Malmö,ogifta,4,Män,2016,2289
1280 Malmö,ogifta,4,Män,2017,2275
1280 Malmö,ogifta,4,Män,2018,2429
1280 Malmö,ogifta,4,Män,2019,2345
1280 Malmö,ogifta,4,Män,2020,2315
1280 Malmö,ogifta,4,Kvinnor,1968,1854
1280 Malmö,ogifta,4,Kvinnor,1969,1770
1280 Malmö,ogifta,4,Kvinnor,1970,1703
1280 Malmö,ogifta,4,Kvinnor,1971,1624
1280 Malmö,ogifta,4,Kvinnor,1972,1451
1280 Malmö,ogifta,4,Kvinnor,1973,1303
1280 Malmö,ogifta,4,Kvinnor,1974,1193
1280 Malmö,ogifta,4,Kvinnor,1975,1223
1280 Malmö,ogifta,4,Kvinnor,1976,1092
1280 Malmö,ogifta,4,Kvinnor,1977,1115
1280 Malmö,ogifta,4,Kvinnor,1978,1159
1280 Malmö,ogifta,4,Kvinnor,1979,1180
1280 Malmö,ogifta,4,Kvinnor,1980,1073
1280 Malmö,ogifta,4,Kvinnor,1981,980
1280 Malmö,ogifta,4,Kvinnor,1982,1044
1280 Malmö,ogifta,4,Kvinnor,1983,1021
1280 Malmö,ogifta,4,Kvinnor,1984,1023
1280 Malmö,ogifta,4,Kvinnor,1985,1038
1280 Malmö,ogifta,4,Kvinnor,1986,1047
1280 Malmö,ogifta,4,Kvinnor,1987,1025
1280 Malmö,ogifta,4,Kvinnor,1988,1083
1280 Malmö,ogifta,4,Kvinnor,1989,1145
1280 Malmö,ogifta,4,Kvinnor,1990,1213
1280 Malmö,ogifta,4,Kvinnor,1991,1150
1280 Malmö,ogifta,4,Kvinnor,1992,1289
1280 Malmö,ogifta,4,Kvinnor,1993,1405
1280 Malmö,ogifta,4,Kvinnor,1994,1525
1280 Malmö,ogifta,4,Kvinnor,1995,1385
1280 Malmö,ogifta,4,Kvinnor,1996,1473
1280 Malmö,ogifta,4,Kvinnor,1997,1511
1280 Malmö,ogifta,4,Kvinnor,1998,1456
1280 Malmö,ogifta,4,Kvinnor,1999,1452
1280 Malmö,ogifta,4,Kvinnor,2000,1271
1280 Malmö,ogifta,4,Kvinnor,2001,1294
1280 Malmö,ogifta,4,Kvinnor,2002,1265
1280 Malmö,ogifta,4,Kvinnor,2003,1298
1280 Malmö,ogifta,4,Kvinnor,2004,1297
1280 Malmö,ogifta,4,Kvinnor,2005,1257
1280 Malmö,ogifta,4,Kvinnor,2006,1346
1280 Malmö,ogifta,4,Kvinnor,2007,1430
1280 Malmö,ogifta,4,Kvinnor,2008,1464
1280 Malmö,ogifta,4,Kvinnor,2009,1623
1280 Malmö,ogifta,4,Kvinnor,2010,1700
1280 Malmö,ogifta,4,Kvinnor,2011,1770
1280 Malmö,ogifta,4,Kvinnor,2012,1960
1280 Malmö,ogifta,4,Kvinnor,2013,2017
1280 Malmö,ogifta,4,Kvinnor,2014,2167
1280 Malmö,ogifta,4,Kvinnor,2015,2112
1280 Malmö,ogifta,4,Kvinnor,2016,2217
1280 Malmö,ogifta,4,Kvinnor,2017,2260
1280 Malmö,ogifta,4,Kvinnor,2018,2192
1280 Malmö,ogifta,4,Kvinnor,2019,2171
1280 Malmö,ogifta,4,Kvinnor,2020,2205
1280 Malmö,ogifta,5,Män,1968,1764
1280 Malmö,ogifta,5,Män,1969,1806
1280 Malmö,ogifta,5,Män,1970,1809
1280 Malmö,ogifta,5,Män,1971,1756
