Kommunkod,Kommun,Parti,År,Antal
0382,Östhammar,Socialdemokraterna,1973,5282
0382,Östhammar,Sverigedemokraterna,1973,NA
0382,Östhammar,Vänsterpartiet,1973,474
0382,Östhammar,övriga partier,1973,27
0428,Vingåker,Centerpartiet,1973,1651
0428,Vingåker,ej röstande,1973,494
0428,Vingåker,Kristdemokraterna,1973,192
0428,Vingåker,Liberalerna,1973,676
0428,Vingåker,Miljöpartiet,1973,NA
0428,Vingåker,Moderaterna,1973,491
0428,Vingåker,ogiltiga valsedlar,1973,6
0428,Vingåker,Socialdemokraterna,1973,2936
0428,Vingåker,Sverigedemokraterna,1973,NA
0428,Vingåker,Vänsterpartiet,1973,192
0428,Vingåker,övriga partier,1973,4
0461,Gnesta,Centerpartiet,1973,NA
0461,Gnesta,ej röstande,1973,NA
0461,Gnesta,Kristdemokraterna,1973,NA
0461,Gnesta,Liberalerna,1973,NA
0461,Gnesta,Miljöpartiet,1973,NA
0461,Gnesta,Moderaterna,1973,NA
0461,Gnesta,ogiltiga valsedlar,1973,NA
0461,Gnesta,Socialdemokraterna,1973,NA
0461,Gnesta,Sverigedemokraterna,1973,NA
0461,Gnesta,Vänsterpartiet,1973,NA
0461,Gnesta,övriga partier,1973,NA
0480,Nyköping,Centerpartiet,1973,10272
0480,Nyköping,ej röstande,1973,3117
0480,Nyköping,Kristdemokraterna,1973,787
0480,Nyköping,Liberalerna,1973,2546
0480,Nyköping,Miljöpartiet,1973,NA
0480,Nyköping,Moderaterna,1973,4804
0480,Nyköping,ogiltiga valsedlar,1973,57
0480,Nyköping,Socialdemokraterna,1973,19025
0480,Nyköping,Sverigedemokraterna,1973,NA
0480,Nyköping,Vänsterpartiet,1973,1238
0480,Nyköping,övriga partier,1973,154
0481,Oxelösund,Centerpartiet,1973,1246
0481,Oxelösund,ej röstande,1973,671
0481,Oxelösund,Kristdemokraterna,1973,68
0481,Oxelösund,Liberalerna,1973,501
0481,Oxelösund,Miljöpartiet,1973,NA
0481,Oxelösund,Moderaterna,1973,604
0481,Oxelösund,ogiltiga valsedlar,1973,9
