Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Kalmar,Djurgården,2,2,5156,Bojan Pandzic,Guldfågeln Arena,2012-10-07,2012
Mjällby,Helsingborg,0,2,4874,Magnus Ahlsén,Strandvallen,2012-10-07,2012
AIK,Gefle,0,1,10776,Andreas Ekberg,Råsunda,2012-10-07,2012
Örebro,Sundsvall,2,2,3071,Jonas Eriksson,Behrn Arena,2012-10-07,2012
Gais,Elfsborg,1,2,3304,Michael Lerjéus,Gamla Ullevi,2012-10-07,2012
Gefle,Åtvidaberg,1,2,2337,Jonas Eriksson,Strömvallen,2012-10-20,2012
Mjällby,Häcken,1,2,3310,Johan Hamlin,Strandvallen,2012-10-20,2012
Helsingborg,Örebro,1,1,7862,Tobias Mattsson,"Olympia, Helsingborg",2012-10-21,2012
Kalmar,Malmö FF,1,2,6676,Markus Strömbergsson,Guldfågeln Arena,2012-10-21,2012
IFK Norrköping,Elfsborg,2,1,8204,Martin Strömbergsson,Nya Parken,2012-10-21,2012
IFK Göteborg,AIK,0,1,10727,Michael Lerjéus,Gamla Ullevi,2012-10-21,2012
Syrianska,Sundsvall,1,1,1973,Stefan Johannesson,Södertälje Fotbollsarena,2012-10-22,2012
Djurgården,Gais,3,0,5569,Andreas Ekberg,Stadion,2012-10-22,2012
Malmö FF,Djurgården,3,1,15107,Stefan Johannesson,Stadion,2012-10-26,2012
Häcken,Kalmar,1,2,5563,Jonas Eriksson,Rambergsvallen,2012-10-27,2012
AIK,Syrianska,1,1,13653,Martin Hansson,Råsunda,2012-10-28,2012
Sundsvall,IFK Norrköping,0,4,NA,Tobias Mattsson,Norrporten Arena,2012-10-28,2012
Örebro,IFK Göteborg,1,0,NA,Martin Strömbergsson,Behrn Arena,2012-10-28,2012
Gais,Helsingborg,1,3,NA,Bojan Pandzic,Gamla Ullevi,2012-10-28,2012
Åtvidaberg,Mjällby,0,0,NA,Michael Lerjéus,Kopparvallen,2012-10-28,2012
Elfsborg,Gefle,2,0,8966,Andreas Ekberg,Borås Arena,2012-10-29,2012
Helsingborg,IFK Göteborg,2,0,9016,Markus Strömbergsson Gävle,"Olympia, Helsingborg",2012-10-31,2012
Kalmar,IFK Norrköping,0,2,4056,Magnus Ahlsén,Guldfågeln Arena,2012-10-31,2012
Djurgården,Syrianska,1,1,5637,NA,Stadion,2012-10-31,2012
Mjällby,Elfsborg,2,3,3762,Jonas Eriksson,Strandvallen,2012-11-01,2012
Gais,Gefle,2,3,1543,Andreas Ekberg,Gamla Ullevi,2012-11-01,2012
Åtvidaberg,Sundsvall,2,2,2567,Johan Hamlin,Kopparvallen,2012-11-01,2012
Häcken,AIK,1,1,5753,Stefan Johannesson,Rambergsvallen,2012-11-01,2012
Malmö FF,Örebro,1,1,17935,Martin Hansson,NA,2012-11-01,2012
AIK,Malmö FF,2,0,28057,NA,Råsunda,2012-11-04,2012
IFK Göteborg,Djurgården,1,0,6017,Tobias Mattsson,NA,2012-11-04,2012
Syrianska,Kalmar,3,0,3109,Markus Strömbergsson,NA,2012-11-04,2012
IFK Norrköping,Mjällby,2,1,4899,NA,NA,2012-11-04,2012
Elfsborg,Åtvidaberg,1,1,16167,Stefan Johannesson,Borås arena,2012-11-04,2012
Gefle,Helsingborg,2,2,1873,NA,NA,2012-11-04,2012
Sundsvall,Häcken,1,2,2689,NA,NA,2012-11-04,2012
Örebro,Gais,4,0,2515,Mohammed Al-Hakim,NA,2012-11-04,2012
Häcken,IFK Göteborg,0,3,15593,Stefan Johannesson,Rambergsvallen,2013-03-31,2013
Syrianska,Kalmar,0,3,3852,Tobias Mattsson,NA,2013-03-31,2013
Helsingborg,Djurgården,3,0,11201,Markus Strömbergsson,Olympia,2013-03-31,2013
Gefle,Åtvidaberg,1,0,3544,Martin Hansson,NA,2013-04-01,2013
Malmö FF,Halmstad,1,1,19577,Martin Strömbergsson,NA,2013-04-01,2013
Mjällby,IFK Norrköping,1,2,3015,Andreas Ekberg,NA,2013-04-01,2013
Elfsborg,AIK,2,2,15861,Michael Lerjéus,Borås arena,2013-04-01,2013
Brommapojkarna,Öster,2,2,1713,Johan Hamlin,Grimsta IP,2013-04-01,2013
Åtvidaberg,Malmö FF,1,3,3501,Michael Lerjéus,Kopparvallen,2013-04-05,2013
IFK Göteborg,Brommapojkarna,2,0,11782,Andreas Ekberg,Gamla Ullevi,2013-04-07,2013
AIK,Syrianska,0,0,43466,Stefan Johannesson,"Nationalarenan, Friends Arena",2013-04-07,2013
Halmstad,Elfsborg,1,1,7659,Markus Strömbergsson,Örjans Vall,2013-04-07,2013
Kalmar,Häcken,0,0,4248,Johan Hamlin,Guldfågeln Arena,2013-04-07,2013
Djurgården,Mjällby,0,3,10087,Tobias Mattsson,Stockholms Stadion 1,2013-04-08,2013
IFK Norrköping,Gefle,2,1,4855,Bojan Pandzic,Nya Parken,2013-04-08,2013
Öster,Helsingborg,1,1,7107,Jonas Eriksson,Myresjöhus Arena,2013-04-08,2013
Brommapojkarna,IFK Norrköping,1,0,1698,Jonas Eriksson,Grimsta IP,2013-04-12,2013
Syrianska,Öster,0,1,2158,Bojan Pandzic,Södertälje Fotbollsarena,2013-04-13,2013
Åtvidaberg,AIK,1,0,4941,Tobias Mattsson,Kopparvallen,2013-04-14,2013
Malmö FF,Kalmar,1,0,12736,Stefan Johannesson,Stadion,2013-04-14,2013
Gefle,Halmstad,2,0,2666,Andreas Ekberg,Strömvallen,2013-04-14,2013
Häcken,Djurgården,4,0,3064,Michael Lerjéus,Rambergsvallen,2013-04-14,2013
Helsingborg,Mjällby,1,2,6844,Martin Strömbergsson,"Olympia, Helsingborg",2013-04-15,2013
Elfsborg,IFK Göteborg,0,0,15995,Martin Hansson,Borås Arena,2013-04-15,2013
Halmstad,Åtvidaberg,0,0,3846,Mohammed Al-Hakim,Örjans Vall,2013-04-17,2013
Öster,Häcken,2,0,3903,Tobias Mattsson,Myresjöhus Arena,2013-04-17,2013
AIK,Malmö FF,0,1,19640,Markus Strömbergsson,"Nationalarenan, Friends Arena",2013-04-17,2013
IFK Göteborg,Syrianska,2,0,7677,Michael Lerjéus,Gamla Ullevi,2013-04-18,2013
Mjällby,Gefle,1,0,2412,Kristoffer Karlsson,Strandvallen,2013-04-18,2013
Kalmar,Elfsborg,1,1,5207,Andreas Ekberg,Guldfågeln Arena,2013-04-18,2013
Djurgården,Brommapojkarna,1,1,6798,Martin Strömbergsson,Stockholms Stadion 1,2013-04-18,2013
IFK Norrköping,Helsingborg,1,4,5223,Martin Hansson,Nya Parken,2013-04-18,2013
Halmstad,Kalmar,1,2,4011,Martin Hansson,Örjans Vall,2013-04-21,2013
Åtvidaberg,IFK Göteborg,1,2,5105,Martin Strömbergsson,Kopparvallen,2013-04-21,2013
Brommapojkarna,Helsingborg,0,2,2083,Johan Hamlin,Grimsta IP,2013-04-21,2013
Häcken,Mjällby,2,0,2440,Mohammed Al-Hakim,Rambergsvallen,2013-04-21,2013
Gefle,AIK,1,2,4589,Tobias Mattsson,Strömvallen,2013-04-22,2013
Malmö FF,Öster,2,0,12216,Andreas Ekberg,Stadion,2013-04-22,2013
Syrianska,IFK Norrköping,3,1,2561,Kristoffer Karlsson,Södertälje Fotbollsarena,2013-04-22,2013
Elfsborg,Djurgården,2,0,9476,Stefan Johannesson,Borås Arena,2013-04-22,2013
IFK Göteborg,Malmö FF,1,1,17063,Jonas Eriksson,Gamla Ullevi,2013-04-25,2013
IFK Norrköping,Häcken,4,2,3884,Johan Hamlin,Nya Parken,2013-04-26,2013
Helsingborg,Gefle,5,1,10010,Stefan Johannesson,"Olympia, Helsingborg",2013-04-27,2013
Kalmar,Åtvidaberg,0,0,5289,Markus Strömbergsson,Guldfågeln Arena,2013-04-27,2013
Djurgården,Syrianska,0,1,7383,Martin Hansson,Stockholms Stadion 1,2013-04-27,2013
Mjällby,Brommapojkarna,4,2,2468,Bojan Pandzic,Strandvallen,2013-04-28,2013
AIK,Halmstad,3,3,16711,Michael Lerjéus,"Nationalarenan, Friends Arena",2013-04-28,2013
Öster,Elfsborg,1,3,6129,Martin Strömbergsson,Myresjöhus Arena,2013-04-28,2013
Malmö FF,IFK Norrköping,1,1,13155,Martin Hansson,Stadion,2013-05-03,2013
Åtvidaberg,Djurgården,5,1,6152,Andreas Ekberg,Kopparvallen,2013-05-04,2013
Elfsborg,Mjällby,2,1,8047,Johan Hamlin,Borås Arena,2013-05-05,2013
Halmstad,Öster,1,0,4494,Bojan Pandzic,Örjans Vall,2013-05-05,2013
Syrianska,Helsingborg,0,1,2572,Tobias Mattsson,Södertälje Fotbollsarena,2013-05-05,2013
Häcken,Brommapojkarna,1,0,2642,Martin Strömbergsson,Rambergsvallen,2013-05-06,2013
Gefle,Kalmar,1,1,3542,Jonas Eriksson,Strömvallen,2013-05-06,2013
AIK,IFK Göteborg,3,1,24211,Stefan Johannesson,"Nationalarenan, Friends Arena",2013-05-06,2013
IFK Norrköping,Elfsborg,1,2,8032,Stefan Johannesson,Nya Parken,2013-05-10,2013
IFK Göteborg,Halmstad,1,0,12457,Martin Hansson,Gamla Ullevi,2013-05-11,2013
Mjällby,Syrianska,4,1,2912,Markus Strömbergsson,Strandvallen,2013-05-12,2013
Kalmar,AIK,2,1,6976,Andreas Ekberg,Guldfågeln Arena,2013-05-12,2013
Djurgården,Malmö FF,3,2,7492,Bojan Pandzic,Stockholms Stadion 1,2013-05-12,2013
Brommapojkarna,Gefle,4,1,1434,Tobias Mattsson,Grimsta IP,2013-05-13,2013
Öster,Åtvidaberg,0,1,4142,Jonas Eriksson,Myresjöhus Arena,2013-05-13,2013
Helsingborg,Häcken,5,0,8483,Michael Lerjéus,"Olympia, Helsingborg",2013-05-13,2013
Mjällby,Malmö FF,2,2,6305,Michael Lerjéus,Strandvallen,2013-05-17,2013
Brommapojkarna,Syrianska,1,1,1473,Mohammed Al-Hakim,Grimsta IP,2013-05-18,2013
Häcken,Gefle,2,2,1817,Magnus Ahlsén,Rambergsvallen,2013-05-19,2013
Öster,AIK,2,3,4792,Bojan Pandzic,Myresjöhus Arena,2013-05-19,2013
IFK Norrköping,Åtvidaberg,2,1,10870,Martin Strömbergsson,Nya Parken,2013-05-19,2013
IFK Göteborg,Kalmar,2,0,10045,Markus Strömbergsson,Gamla Ullevi,2013-05-19,2013
Djurgården,Halmstad,1,0,7021,Johan Hamlin,Stockholms Stadion 1,2013-05-19,2013
Helsingborg,Elfsborg,2,1,10341,Martin Hansson,"Olympia, Helsingborg",2013-05-20,2013
Gefle,IFK Göteborg,1,1,4067,Mohammed Al-Hakim,Strömvallen,2013-05-22,2013
AIK,Djurgården,1,1,35311,Jonas Eriksson,"Nationalarenan, Friends Arena",2013-05-22,2013
Syrianska,Häcken,0,3,2392,Michael Lerjéus,Södertälje Fotbollsarena,2013-05-23,2013
Åtvidaberg,Mjällby,3,0,3159,Kristoffer Karlsson,Kopparvallen,2013-05-23,2013
Halmstad,IFK Norrköping,1,1,3180,Martin Hansson,Örjans Vall,2013-05-23,2013
Elfsborg,Brommapojkarna,6,0,7661,Andreas Ekberg,Borås Arena,2013-05-23,2013
Kalmar,Öster,3,1,11067,Stefan Johannesson,Guldfågeln Arena,2013-05-23,2013
Syrianska,Gefle,2,2,2572,Johan Hamlin,Södertälje Fotbollsarena,2013-05-28,2013
Malmö FF,Helsingborg,1,1,23730,Markus Strömbergsson,Stadion,2013-05-29,2013
Djurgården,Kalmar,1,0,7208,Martin Strömbergsson,Stockholms Stadion 1,2013-05-30,2013
IFK Norrköping,AIK,0,1,8875,Tobias Mattsson,Nya Parken,2013-05-30,2013
Öster,IFK Göteborg,2,0,7100,Michael Lerjéus,Myresjöhus Arena,2013-05-31,2013
Brommapojkarna,Malmö FF,1,3,2076,Kristoffer Karlsson,Grimsta IP,2013-06-01,2013
Häcken,Elfsborg,0,1,5077,Stefan Johannesson,Rambergsvallen,2013-06-01,2013
Helsingborg,Åtvidaberg,3,0,11106,Andreas Ekberg,"Olympia, Helsingborg",2013-06-01,2013
Mjällby,Halmstad,5,1,3276,Bojan Pandzic,Strandvallen,2013-06-01,2013
Gefle,Öster,0,0,4210,Kristoffer Karlsson,Strömvallen,2013-06-15,2013
Kalmar,IFK Norrköping,2,2,5235,Bojan Pandzic,Guldfågeln Arena,2013-06-17,2013
IFK Göteborg,Djurgården,0,0,11304,Martin Hansson,Gamla Ullevi,2013-06-17,2013
Häcken,Åtvidaberg,0,2,2434,Tobias Mattsson,Rambergsvallen,2013-06-19,2013
Brommapojkarna,Halmstad,1,1,1414,Stefan Johannesson,Grimsta IP,2013-06-19,2013
Elfsborg,Gefle,0,0,8300,Johan Hamlin,Borås Arena,2013-06-19,2013
Syrianska,Malmö FF,2,3,2101,Bojan Pandzic,Södertälje Fotbollsarena,2013-06-20,2013
Mjällby,Kalmar,0,2,4302,Andreas Ekberg,Strandvallen,2013-06-20,2013
IFK Norrköping,IFK Göteborg,1,2,7790,Markus Strömbergsson,Nya Parken,2013-06-20,2013
Åtvidaberg,Syrianska,1,0,3520,Kristoffer Karlsson,Kopparvallen,2013-06-23,2013
Halmstad,Häcken,0,2,3051,Martin Strömbergsson,Örjans Vall,2013-06-23,2013
Kalmar,Helsingborg,1,1,6682,Michael Lerjéus,Guldfågeln Arena,2013-06-23,2013
IFK Göteborg,Mjällby,4,2,8594,Johan Hamlin,Gamla Ullevi,2013-06-24,2013
AIK,Brommapojkarna,4,0,13983,Martin Hansson,"Nationalarenan, Friends Arena",2013-06-24,2013
Gefle,Djurgården,1,1,5316,Bojan Pandzic,Strömvallen,2013-06-24,2013
Öster,IFK Norrköping,0,2,4766,Andreas Ekberg,Myresjöhus Arena,2013-06-24,2013
Malmö FF,Elfsborg,2,1,13821,Stefan Johannesson,Stadion,2013-06-24,2013
Malmö FF,Häcken,1,3,11861,Markus Strömbergsson,Stadion,2013-06-27,2013
Helsingborg,AIK,1,2,11535,Martin Strömbergsson,"Olympia, Helsingborg",2013-06-27,2013
Elfsborg,Syrianska,5,1,7001,Mohammed Al-Hakim,Borås Arena,2013-06-30,2013
Djurgården,Öster,2,0,14276,Martin Hansson,Stockholms Stadion 1,2013-06-30,2013
Åtvidaberg,Brommapojkarna,4,1,4063,Bojan Pandzic,Kopparvallen,2013-07-01,2013
AIK,Mjällby,0,0,13870,Michael Lerjéus,"Nationalarenan, Friends Arena",2013-07-01,2013
Elfsborg,Åtvidaberg,0,1,7653,Markus Strömbergsson,Borås Arena,2013-07-06,2013
Brommapojkarna,Kalmar,0,1,1204,Mohammed Al-Hakim,Grimsta IP,2013-07-06,2013
Mjällby,Öster,1,1,5025,Tobias Mattsson,Strandvallen,2013-07-06,2013
Malmö FF,Gefle,3,1,9837,Michael Lerjéus,Stadion,2013-07-07,2013
Syrianska,Halmstad,1,2,1932,Bojan Pandzic,Södertälje Fotbollsarena,2013-07-07,2013
AIK,Häcken,2,0,11753,Johan Hamlin,"Nationalarenan, Friends Arena",2013-07-07,2013
Helsingborg,IFK Göteborg,1,1,14413,Stefan Johannesson,"Olympia, Helsingborg",2013-07-08,2013
Elfsborg,Halmstad,2,2,7035,Johan Hamlin,Borås Arena,2013-07-13,2013
Häcken,Kalmar,0,1,2386,Markus Strömbergsson,Rambergsvallen,2013-07-13,2013
Brommapojkarna,IFK Göteborg,2,1,1771,Martin Strömbergsson,Grimsta IP,2013-07-13,2013
Gefle,IFK Norrköping,2,2,3778,Mohammed Al-Hakim,Strömvallen,2013-07-14,2013
Mjällby,Djurgården,2,0,5611,Bojan Pandzic,Strandvallen,2013-07-14,2013
Malmö FF,Åtvidaberg,4,0,10877,Stefan Johannesson,Stadion,2013-07-14,2013
Syrianska,AIK,1,2,5292,Martin Hansson,Södertälje Fotbollsarena,2013-07-14,2013
Helsingborg,Öster,3,0,9572,Andreas Ekberg,"Olympia, Helsingborg",2013-07-15,2013
Djurgården,IFK Norrköping,1,2,27798,Stefan Johannesson,Tele 2 Arena,2013-07-21,2013
Häcken,AIK,2,3,4531,Michael Lerjéus,Rambergsvallen,2013-07-22,2013
Halmstad,Helsingborg,0,1,8834,Markus Strömbergsson,Örjans Vall,2013-07-24,2013
Åtvidaberg,Elfsborg,1,1,4844,Andreas Ekberg,Kopparvallen,2013-07-27,2013
Kalmar,Brommapojkarna,2,2,4786,Kristoffer Karlsson,Guldfågeln Arena,2013-07-27,2013
Öster,Mjällby,1,1,4622,Mohammed Al-Hakim,Myresjöhus Arena,2013-07-27,2013
IFK Göteborg,Helsingborg,2,4,14712,Jonas Eriksson,Gamla Ullevi,2013-07-28,2013
Gefle,Malmö FF,2,0,5169,Martin Hansson,Strömvallen,2013-07-28,2013
Halmstad,Syrianska,1,1,3971,Tobias Mattsson,Örjans Vall,2013-07-29,2013
Kalmar,Syrianska,1,0,4037,Bojan Pandzic,Guldfågeln Arena,2013-08-03,2013
Öster,Brommapojkarna,0,0,4293,Tobias Mattsson,Myresjöhus Arena,2013-08-03,2013
AIK,Elfsborg,2,1,21882,Jonas Eriksson,"Nationalarenan, Friends Arena",2013-08-03,2013
Åtvidaberg,Gefle,1,1,3450,Mohammed Al-Hakim,Kopparvallen,2013-08-04,2013
Halmstad,Malmö FF,1,3,6433,Michael Lerjéus,Örjans Vall,2013-08-04,2013
IFK Göteborg,Häcken,3,1,11118,Andreas Ekberg,Gamla Ullevi,2013-08-04,2013
IFK Norrköping,Mjällby,3,2,5718,Martin Strömbergsson,Nya Parken,2013-08-05,2013
Djurgården,Helsingborg,2,1,13251,Johan Hamlin,Tele 2 Arena,2013-08-05,2013
Åtvidaberg,Halmstad,0,1,3324,Kristoffer Karlsson,Kopparvallen,2013-08-10,2013
Elfsborg,Kalmar,1,0,6863,Stefan Johannesson,Borås Arena,2013-08-10,2013
Brommapojkarna,Djurgården,3,0,7822,Jonas Eriksson,Tele 2 Arena,2013-08-10,2013
Gefle,Mjällby,2,1,3135,Tobias Mattsson,Strömvallen,2013-08-11,2013
Syrianska,IFK Göteborg,0,2,2301,Martin Strömbergsson,Södertälje Fotbollsarena,2013-08-11,2013
Helsingborg,IFK Norrköping,0,0,9157,Markus Strömbergsson,"Olympia, Helsingborg",2013-08-11,2013
Malmö FF,AIK,1,0,17518,Martin Hansson,Stadion,2013-08-11,2013
Häcken,Öster,0,2,2073,Johan Hamlin,Rambergsvallen,2013-08-11,2013
Öster,Syrianska,1,0,4578,Jonas Eriksson,Myresjöhus Arena,2013-08-16,2013
IFK Göteborg,Elfsborg,3,1,16027,Martin Hansson,Gamla Ullevi,2013-08-17,2013
IFK Norrköping,Brommapojkarna,2,1,5479,Mohammed Al-Hakim,Nya Parken,2013-08-17,2013
Halmstad,Gefle,2,2,2541,Stefan Johannesson,Örjans Vall,2013-08-18,2013
Djurgården,Häcken,1,1,10548,Michael Lerjéus,Tele 2 Arena,2013-08-18,2013
Kalmar,Malmö FF,1,4,6834,Martin Strömbergsson,Guldfågeln Arena,2013-08-18,2013
AIK,Åtvidaberg,3,2,13580,Bojan Pandzic,"Nationalarenan, Friends Arena",2013-08-19,2013
Mjällby,Helsingborg,4,3,5037,Andreas Ekberg,Strandvallen,2013-08-19,2013
IFK Norrköping,Djurgården,2,3,7822,Markus Strömbergsson,Nya Parken,2013-08-22,2013
Gefle,Helsingborg,1,2,5223,Johan Hamlin,Strömvallen,2013-08-25,2013
Elfsborg,Öster,2,4,6209,Andreas Ekberg,Borås Arena,2013-08-25,2013
Halmstad,AIK,1,0,6253,Tobias Mattsson,Örjans Vall,2013-08-25,2013
Malmö FF,IFK Göteborg,3,1,23142,Jonas Eriksson,Stadion,2013-08-25,2013
Brommapojkarna,Mjällby,2,0,1386,Martin Strömbergsson,Grimsta IP,2013-08-26,2013
Åtvidaberg,Kalmar,0,0,3837,Michael Lerjéus,Kopparvallen,2013-08-26,2013
Häcken,IFK Norrköping,1,0,2725,Kristoffer Karlsson,Rambergsvallen,2013-08-26,2013
Syrianska,Djurgården,1,3,4309,Stefan Johannesson,Södertälje Fotbollsarena,2013-08-26,2013
Helsingborg,Brommapojkarna,4,2,7911,Michael Lerjéus,"Olympia, Helsingborg",2013-08-30,2013
AIK,Gefle,3,0,12587,Andreas Ekberg,"Nationalarenan, Friends Arena",2013-08-31,2013
IFK Göteborg,Åtvidaberg,3,0,7131,Martin Strömbergsson,Gamla Ullevi,2013-09-01,2013
Öster,Malmö FF,1,1,9103,Johan Hamlin,Myresjöhus Arena,2013-09-01,2013
IFK Norrköping,Syrianska,6,1,3912,Martin Hansson,Nya Parken,2013-09-01,2013
Mjällby,Häcken,1,1,3229,Mohammed Al-Hakim,Strandvallen,2013-09-01,2013
Kalmar,Halmstad,1,0,3904,Kristoffer Karlsson,Guldfågeln Arena,2013-09-01,2013
Djurgården,Elfsborg,1,2,11379,Bojan Pandzic,Tele 2 Arena,2013-09-01,2013
Gefle,Brommapojkarna,1,0,2879,Bojan Pandzic,Strömvallen,2013-09-14,2013
Åtvidaberg,Öster,4,0,4202,Jonas Eriksson,Kopparvallen,2013-09-14,2013
AIK,Kalmar,0,0,15197,Martin Strömbergsson,"Nationalarenan, Friends Arena",2013-09-15,2013
Halmstad,IFK Göteborg,0,1,6540,Markus Strömbergsson,Örjans Vall,2013-09-15,2013
Elfsborg,IFK Norrköping,4,1,7521,Martin Hansson,Borås Arena,2013-09-15,2013
Häcken,Helsingborg,3,2,3077,Tobias Mattsson,Rambergsvallen,2013-09-15,2013
Syrianska,Mjällby,1,2,1135,Kristoffer Karlsson,Södertälje Fotbollsarena,2013-09-15,2013
Malmö FF,Djurgården,0,2,15751,Michael Lerjéus,Stadion,2013-09-16,2013
Öster,Halmstad,0,1,5026,Bojan Pandzic,Myresjöhus Arena,2013-09-20,2013
Kalmar,Gefle,0,0,3988,Mohammed Al-Hakim,Guldfågeln Arena,2013-09-21,2013
Brommapojkarna,Häcken,1,0,1013,Kristoffer Karlsson,Grimsta IP,2013-09-22,2013
Mjällby,Elfsborg,2,2,4004,Andreas Ekberg,Strandvallen,2013-09-22,2013
Helsingborg,Syrianska,2,2,9546,Johan Hamlin,"Olympia, Helsingborg",2013-09-22,2013
Djurgården,Åtvidaberg,2,0,10079,Martin Hansson,Tele 2 Arena,2013-09-22,2013
IFK Norrköping,Malmö FF,0,2,6374,Markus Strömbergsson,Nya Parken,2013-09-22,2013
IFK Göteborg,AIK,3,1,16206,Michael Lerjéus,Gamla Ullevi,2013-09-23,2013
Öster,Kalmar,1,2,11133,Martin Strömbergsson,Myresjöhus Arena,2013-09-24,2013
Häcken,Syrianska,4,0,2876,Andreas Ekberg,Rambergsvallen,2013-09-25,2013
Brommapojkarna,Elfsborg,1,0,966,Mohammed Al-Hakim,Grimsta IP,2013-09-25,2013
Helsingborg,Malmö FF,0,3,16300,Jonas Eriksson,"Olympia, Helsingborg",2013-09-25,2013
Mjällby,Åtvidaberg,0,1,2871,Kristoffer Karlsson,Strandvallen,2013-09-26,2013
IFK Göteborg,Gefle,3,1,10489,Tobias Mattsson,Gamla Ullevi,2013-09-26,2013
IFK Norrköping,Halmstad,3,2,4021,Johan Hamlin,Nya Parken,2013-09-26,2013
Djurgården,AIK,2,2,27112,Stefan Johannesson,Tele 2 Arena,2013-09-26,2013
Syrianska,Brommapojkarna,1,2,1201,Markus Strömbergsson,Södertälje Fotbollsarena,2013-09-28,2013
Kalmar,IFK Göteborg,2,1,6836,Andreas Ekberg,Guldfågeln Arena,2013-09-29,2013
Halmstad,Djurgården,1,4,3183,Martin Hansson,Örjans Vall,2013-09-29,2013
Elfsborg,Helsingborg,1,1,9135,Stefan Johannesson,Borås Arena,2013-09-29,2013
Malmö FF,Mjällby,1,0,15560,Johan Hamlin,Stadion,2013-09-30,2013
Gefle,Häcken,0,0,3067,Mohammed Al-Hakim,Strömvallen,2013-09-30,2013
AIK,Öster,2,1,9388,Tobias Mattsson,"Nationalarenan, Friends Arena",2013-09-30,2013
Åtvidaberg,IFK Norrköping,1,3,7628,Michael Lerjéus,Kopparvallen,2013-09-30,2013
Mjällby,AIK,2,3,3180,Bojan Pandzic,Strandvallen,2013-10-04,2013
IFK Norrköping,Kalmar,0,1,8012,Mohammed Al-Hakim,Nya Parken,2013-10-05,2013
Brommapojkarna,Åtvidaberg,0,0,1689,Andreas Ekberg,Grimsta IP,2013-10-05,2013
Syrianska,Elfsborg,1,3,513,Martin Strömbergsson,Södertälje Fotbollsarena,2013-10-06,2013
Öster,Gefle,1,4,5812,Johan Hamlin,Myresjöhus Arena,2013-10-06,2013
Djurgården,IFK Göteborg,2,1,11815,Stefan Johannesson,Tele 2 Arena,2013-10-06,2013
Häcken,Malmö FF,2,0,5814,Markus Strömbergsson,Rambergsvallen,2013-10-06,2013
Helsingborg,Halmstad,4,2,10056,Michael Lerjéus,"Olympia, Helsingborg",2013-10-06,2013
Gefle,Syrianska,2,0,2849,Kristoffer Karlsson,Strömvallen,2013-10-19,2013
IFK Göteborg,Öster,0,0,9107,Tobias Mattsson,Gamla Ullevi,2013-10-20,2013
Åtvidaberg,Helsingborg,3,0,3466,Markus Strömbergsson,Kopparvallen,2013-10-20,2013
Elfsborg,Häcken,0,0,7362,Bojan Pandzic,Borås Arena,2013-10-20,2013
Malmö FF,Brommapojkarna,2,1,17856,Martin Hansson,Stadion,2013-10-20,2013
Kalmar,Djurgården,1,2,4011,Michael Lerjéus,Guldfågeln Arena,2013-10-21,2013
AIK,IFK Norrköping,1,0,11850,Martin Strömbergsson,"Nationalarenan, Friends Arena",2013-10-21,2013
Halmstad,Mjällby,1,0,2820,Johan Hamlin,Örjans Vall,2013-10-21,2013
Häcken,Halmstad,1,3,5027,Martin Hansson,Rambergsvallen,2013-10-25,2013
Brommapojkarna,AIK,0,6,9826,Michael Lerjéus,Tele 2 Arena,2013-10-26,2013
Mjällby,IFK Göteborg,2,1,4038,Markus Strömbergsson,Strandvallen,2013-10-27,2013
Djurgården,Gefle,1,1,14885,Glenn Nyberg,Tele 2 Arena,2013-10-27,2013
Syrianska,Åtvidaberg,4,1,1603,Mohammed Al-Hakim,Södertälje Fotbollsarena,2013-10-27,2013
Helsingborg,Kalmar,2,3,7782,Andreas Ekberg,"Olympia, Helsingborg",2013-10-27,2013
IFK Norrköping,Öster,1,1,3166,Stefan Johannesson,Nya Parken,2013-10-28,2013
Elfsborg,Malmö FF,0,2,12039,Jonas Eriksson,Borås Arena,2013-10-28,2013
IFK Göteborg,IFK Norrköping,2,0,10119,Martin Hansson,Gamla Ullevi,2013-11-03,2013
Malmö FF,Syrianska,3,1,23758,Tobias Mattsson,Stadion,2013-11-03,2013
Åtvidaberg,Häcken,2,2,3106,Kristoffer Karlsson,Kopparvallen,2013-11-03,2013
Halmstad,Brommapojkarna,2,2,6157,Martin Strömbergsson,Örjans Vall,2013-11-03,2013
AIK,Helsingborg,2,1,20068,Jonas Eriksson,"Nationalarenan, Friends Arena",2013-11-03,2013
Gefle,Elfsborg,0,2,2527,Johan Hamlin,Strömvallen,2013-11-03,2013
Kalmar,Mjällby,2,1,7463,Bojan Pandzic,Guldfågeln Arena,2013-11-03,2013
Öster,Djurgården,1,1,3847,Andreas Ekberg,Myresjöhus Arena,2013-11-03,2013
Helsingborg,Djurgården,1,1,13632,NA,"Olympia, Helsingborg",2014-03-30,2014
Mjällby,Gefle,2,2,3532,NA,Strandvallen,2014-03-30,2014
Brommapojkarna,Kalmar,1,2,2028,NA,Grimsta IP,2014-03-30,2014
Halmstad,Örebro,1,2,5080,NA,Örjans Vall,2014-03-30,2014
Malmö FF,Falkenberg,3,0,19383,NA,Stadion,2014-03-30,2014
Häcken,IFK Norrköping,2,0,2437,Mohammed Al-Hakim,Gamla Ullevi,2014-03-31,2014
