Namn,K,M
Raia,14,0
Raiana,7,0
Raicha,2,0
Raida,70,0
Raidah,6,0
Raidy,2,0
Raieda,3,0
Raifa,14,0
Raife,2,0
Raiha,3,0
Raihana,48,0
Raihanah,4,0
Raihaneh,2,0
Raihanna,2,0
Raihona,2,0
Raija,1089,0
Raija Leena,2,0
Raija Liisa,2,0
Raija-Leena,4,0
Raija-Liisa,12,0
Raijan,2,0
Raila,51,0
Raili,738,0
Railie,2,0
Raima,13,0
Raimas,12,0
Raimonda,39,0
Raimunda,6,0
Raimy,2,0
Raina,50,0
Raini,6,0
Rainy,6,0
Raisa,128,0
Raisat,3,0
Raisha,3,0
Raiso,2,0
Raissa,22,0
Raita,8,0
Raiya,4,0
Raiza,8,0
Rajáa,2,0
Rajad,2,0
Rajae,13,0
Rajalakshmi,8,0
Rajana,43,0
Rajani,18,0
Rajashree,5,0
Rajeha,2,0
Rajeshwari,8,0
Rajeswari,10,0
Rajfa,14,0
Rajha,2,0
Rajhad,3,0
Rajia,10,0
Rajifa,2,0
Rajiha,12,0
Rajima,2,0
Rajina,6,0
Rajini,2,0
Rajja,2,0
Rajka,33,0
Rajmonda,29,0
Rajna,26,0
Rajneet,2,0
Rajni,17,0
Rajrani,2,0
Rajwa,3,0
Rajwant,3,0
Rajvinder,3,0
Rak,2,0
Rakad,2,0
Rakchanok,5,0
Rakeb,13,0
Rakel,782,0
Rakele,3,0
Rakha,2,0
Rakhat,2,0
Rakhee,3,0
Rakhi,12,0
Rakhia,2,0
Rakhshanda,6,0
Rakhshandeh,7,0
Rakhshinda,2,0
Rakhy,2,0
Rakia,25,0
Rakiah,2,0
Rakibe,5,0
Rakieb,2,0
Rakil,2,0
Rakiya,2,0
Rakkhana,4,0
Raksha,8,0
Rakshana,2,0
Rakshita,2,0
Rakshitha,5,0
Rakul,2,0
Rala,2,0
Ralda,5,0
Ralia,2,0
Ralina,2,0
Ralitsa,9,0
Ralitza,2,0
Raliya,4,0
Raluca,98,0
Raluca-Elena,2,0
Raluca-Gabriela,3,0
Raluca-Ioana,2,0
Raluca-Maria,2,0
Raluca-Mihaela,2,0
Ramaa,4,0
Ramadevi,3,0
Ramajana,15,0
Ramalakshmi,2,0
Ramallah,2,0
Ramani,4,0
Ramanjeet,2,0
Ramanjit,4,0
Ramanpreet,4,0
Ramapriya,2,0
Ramas,4,0
Ramat,3,0
Ramata,2,0
Ramatou,2,0
Ramatoulaye,7,0
Ramatoulie,24,0
Ramatu,3,0
Ramea,5,0
Rameen,22,0
Rameesha,5,0
Ramella,3,0
Ramia,105,0
Ramida,14,0
Ramija,10,0
Ramije,3,0
Ramila,10,0
Ramilya,5,0
Ramina,41,0
Raminna,2,0
Raminta,26,0
Ramira,3,0
Ramisa,10,0
Ramisha,4,0
Ramita,7,0
Ramiya,3,0
Ramiza,182,0
Ramize,45,0
Ramka,6,0
Ramla,80,0
Ramlah,7,0
Ramlo,42,0
Ramnat,4,0
Ramona,863,0
Ramóna,4,0
Ramona-Maria,2,0
Ramonita,2,0
Ramoon,2,0
Ramou,13,0
Rampa,2,0
Rampai,7,0
Ramphai,8,0
Ramphaiphan,2,0
Ramphan,2,0
Ramphueng,4,0
Ramphung,3,0
Rampueng,3,0
Ramsha,6,0
Ramsina,5,0
Ramta,3,0
Ramtha,3,0
Ramune,30,0
Ramuné,9,0
Ramute,7,0
Ramya,60,0
Ramyai,2,0
Ramyalatha,2,0
Ramza,7,0
Ramzeia,2,0
Ramzia,43,0
Ramzie,4,0
Ramziea,2,0
Ramzieh,10,0
Ramzija,6,0
Ramziya,13,0
Ramziyah,7,0
Ramziye,2,0
Ramziyyeh,2,0
Ramzya,2,0
Rán,4,0
Ranaa,10,0
Ranad,7,0
Ranah,3,0
Rancy,4,0
Randa,404,0
Randah,6,0
Rande,3,0
Randh,3,0
Randhi,3,0
Randi-Alice,2,0
Randie,4,0
Randveig,2,0
Ranea,15,0
Raneah,2,0
Ranee,5,0
Raneem,118,0
Raneia,2,0
Ranem,30,0
Ranen,5,0
Rangeen,9,0
Rangel,2,0
Rangela,5,0
Rangin,21,0
Rangina,8,0
Rangny,2,0
Rangsi,2,0
Rangvi,14,0
Rangvy,6,0
Rania,1019,0
Raniah,41,0
Ranie,2,0
Ranieh,3,0
Ranim,250,0
Ranima,2,0
Ranita,5,0
Raniya,15,0
Raniyah,2,0
Ranja,106,0
Ranjana,14,0
Ranjani,10,0
Ranjanie,3,0
Ranjita,5,0
Ranjitha,3,0
Ranju,5,0
Ranjuan,2,0
Ranka,36,0
Rankeen,5,0
Ranna,36,0
Rannda,2,0
Rannvá,2,0
Rannveig,21,0
Ransa,2,0
Ransi,3,0
Ranveig,18,0
Ranvi,3,0
Ranya,202,0
Ranyah,3,0
Raoa,5,0
Raod,2,0
Raoda,3,0
Raodah,2,0
Raoua,4,0
Raouaa,7,0
Raouda,5,0
Raoudha,12,0
Raouia,5,0
Raowa,2,0
Raoya,2,0
Rapeepan,4,0
Rapeeporn,6,0
Rapeepun,2,0
Raperin,2,0
Raphaela,23,0
Raphaella,2,0
Raphaelle,7,0
Raphaëlle,5,0
Rapheephan,3,0
Rapka,3,0
Rapunzel,2,0
Raqaya,2,0
Raqda,4,0
Raqia,14,0
Raqiya,34,0
Raqiyah,2,0
Raqiyo,5,0
Raquel,232,0
Rasamee,3,0
Rascha,3,0
Raschanee,2,0
Raseel,12,0
Rasema,61,0
Rasha,845,0
Rashaa,6,0
Rashada,2,0
Rashda,3,0
Rasheda,7,0
Rasheeda,5,0
Rasheel,2,0
Rashi,11,0
Rashida,61,0
Rashidah,3,0
Rashidat,2,0
Rashil,3,0
Rashima,2,0
Rashin,14,0
Rasia,3,0
Rasida,11,0
Rasiha,4,0
Rasija,2,0
Rasila,2,0
Rasima,27,0
Rasita,3,0
Raska,2,0
Rasma,23,0
Rasmia,26,0
Rasmiah,2,0
Rasmie,8,0
Rasmieh,11,0
Rasmija,2,0
Rasmine,2,0
Rasmita,2,0
Rasmiya,16,0
Rasmiyeh,7,0
Rasmiyya,2,0
Rassamee,6,0
Rassil,4,0
Rasta,2,0
Rataj,4,0
Ratana,23,0
Ratanaporn,12,0
Ratania,2,0
Ratchada,10,0
Ratchadaporn,16,0
Ratchadawan,2,0
Ratchanee,31,0
Ratchaneekorn,12,0
Ratchaneeporn,4,0
Ratchaneewan,6,0
Ratchani,7,0
Ratchanida,3,0
Ratchaniwan,2,0
Ratchanok,8,0
Ratchanu,4,0
Ratchaporn,3,0
Ratchaya,2,0
Ratda,5,0
Rateba,5,0
Ratee,4,0
Rateel,9,0
Ratel,5,0
Rathi,2,0
Rathika,3,0
Ratiba,14,0
Raticha,2,0
Ratikan,2,0
Ratil,13,0
Ratka,20,0
Ratmani,2,0
Ratomirka,2,0
Ratree,56,0
Ratri,13,0
Ratsamee,21,0
Ratsami,4,0
Ratsuda,2,0
Rattanakorn,7,0
Rattanaphon,9,0
Rattanaporn,33,0
Rattanawadee,4,0
Rattikal,2,0
Rattikan,11,0
Rattikarn,4,0
Rattiya,14,0
Rattiyaporn,3,0
Ratu,2,0
Rauaa,2,0
Rauda,3,0
Rauha,101,0
Rauna,2,0
Raushan,2,0
Rauya,2,0
Rawaa,152,0
Rawaah,4,0
Rawaan,7,0
Rawadee,2,0
Rawah,21,0
Rawail,2,0
Rawana,3,0
Rawanda,5,0
Rawasi,7,0
Rawd,5,0
Rawda,79,0
Rawdha,2,0
Rawdhah,2,0
Raveca,2,0
Raveena,4,0
Raveewan,3,0
Raweewan,8,0
Ravenna,2,0
Rawha,3,0
Rawia,37,0
Ravina,14,0
Rawina,2,0
Rawinan,3,0
Ravinnipa,2,0
Rawipha,2,0
Ravisara,2,0
Rawisara,3,0
Ravita,3,0
Raviwan,2,0
Rawiwan,10,0
Rawiya,5,0
Ravka,2,0
Rawnaf,2,0
Rawnak,6,0
Rawnaq,17,0
Ravneet,2,0
Rawshan,10,0
Ravya,4,0
Rawya,18,0
Rawyda,2,0
Ravza,10,0
Raxma,3,0
Raxmo,4,0
Rayah,2,0
Rayahin,2,0
Rayam,4,0
Rayana,48,0
Rayann,7,0
Rayanna,2,0
Rayanne,3,0
Rayat,2,0
Rayda,2,0
Rayeheh,2,0
Rayén,5,0
Rayet,2,0
Rayhana,27,0
Rayhanah,3,0
Rayhane,3,0
Rayhaneh,6,0
Rayisa,5,0
Raykhona,4,0
Rayma,4,0
Rayme,2,0
Raymilda,2,0
Raymok,3,0
Raymonda,12,0
Raymonde,3,0
Rayna,20,0
Rayona,4,0
Raysa,6,0
Rayso,2,0
Rayven,2,0
Rayya,5,0
Rayyana,5,0
Rayyona,2,0
Razaan,3,0
Razane,2,0
Razav,2,0
Razaw,22,0
Razawa,4,0
Razaz,5,0
Razber,2,0
Raze,6,0
Razel,2,0
Razia,184,0
Raziah,2,0
Razie,15,0
Razieh,69,0
Razija,109,0
Razije,11,0
Razika,4,0
Razina,2,0
Raziya,27,0
Raziyah,4,0
Raziyam,3,0
Raziye,36,0
Raziyeh,23,0
Razkia,2,0
Razma,11,0
Razwa,2,0
Rbka,4,0
Rea,45,0
Reaam,2,0
Ream,13,0
Reana,4,0
Reanna,3,0
Reb,3,0
Rebab,2,0
Rebah,2,0
Rebbecca,2,0
Rebeca,214,0
Rebeccah,12,0
Rebecca-Louise,2,0
Rebecha,13,0
Rebeckah,13,0
Rebecka-Maria,2,0
Rebeh,2,0
Rebeka,105,0
Rebekah,34,0
Rebekka,96,0
Rebell,3,0
Rebella,9,0
Rebelle,7,0
Rebia,2,0
Rebija,4,0
Rebika,2,0
Rebka,5,0
Recheal,2,0
Redaa,2,0
Redab,5,0
Redeat,4,0
Redeit,2,0
Redet,3,0
Redifa,2,0
Redife,2,0
Redina,2,0
Redjifa,2,0
Redjija,4,0
Redona,6,0
Redzifa,4,0
Redzija,3,0
Ree,5,0
Reehana,2,0
Reeli,4,0
Reelika,9,0
Reema,91,0
Reeman,4,0
Reemas,4,0
Reemi,2,0
Reen,3,0
Reena,39,0
Reené,13,0
Reeni,2,0
Reenu,2,0
Reesha,2,0
Reet,41,0
Reeta,28,0
Reetaj,2,0
Reetal,3,0
Reetika,2,0
Reetta,22,0
Reetta-Liisa,2,0
Reetu,4,0
Reeva,2,0
Refa,3,0
Refaa,5,0
Refadija,3,0
Refah,2,0
Refal,2,0
Refel,4,0
Refica,2,0
Refida,2,0
Refif,8,0
Refija,40,0
Refije,5,0
Refika,42,0
Refka,17,0
Refqa,2,0
Regad,2,0
Regat,25,0
Regbe,11,0
Regeat,3,0
Regiane,2,0
Regina,1355,0
Regine,63,0
Régine,3,0
Reginela,2,0
Regita,2,0
Regitze,7,0
Regla,3,0
Regula,3,0
Regzedmaa,2,0
Rehab,135,0
Rehabot,4,0
Reham,241,0
Rehana,55,0
Rehane,2,0
Rehanna,13,0
Rehaset,3,0
Rehef,3,0
Reheman,2,0
Rehena,2,0
Rehenuma,2,0
Rehima,5,0
Rehina,2,0
Rehma,5,0
Rehnuma,3,0
Rehoboth,2,0
Reia,3,0
Reicell,2,0
Reida,3,0
Reidun,280,0
Reidunn,10,0
Reihan,6,0
Reihana,4,0
Reihane,6,0
Reihaneh,22,0
Reija,57,0
Reija-Liisa,3,0
Reiko,17,0
Reim,7,0
Reimor,4,0
Reina,64,0
Reinhild,2,0
Reinhilde,3,0
Reini,3,0
Reinie,3,0
Reiny,5,0
Reita,3,0
Rejaa,2,0
Rejana,11,0
Rejane,5,0
Rejdun,5,0
Rejeen,2,0
Rejha,2,0
Rejhana,12,0
Rejhane,12,0
Rejina,5,0
Rejitha,3,0
Rejna,11,0
Rejoice,11,0
Reka,36,0
Réka,35,0
Rekha,40,0
Rekia,7,0
Rekik,5,0
Rela,2,0
Relina,3,0
Rella,3,0
Rema,56,0
Remaa,3,0
Remah,3,0
Remal,2,0
Remas,81,0
Remass,2,0
Remaz,13,0
Remedios,15,0
Remia,3,0
Remigija,3,0
Remilekun,2,0
Remin,2,0
Remita,2,0
Remka,2,0
Remla,5,0
Remma,2,0
Remmie,2,0
Remona,8,0
Remonda,15,0
Remya,14,0
Remza,12,0
Remzia,2,0
Remzie,15,0
Remzije,88,0
Remziye,26,0
Rena,60,0
Renada,2,0
Renae,2,0
Renaida,2,0
Renalda,3,0
Renalyn,4,0
Renata,810,0
Renáta,25,0
Renate,526,0
Renathe,16,0
Renatta,3,0
Renda,7,0
Rendija,2,0
Réne,2,0
Renea,10,0
Renéé,2,0
Renée-Maria,2,0
Reneida,2,0
Renesa,2,0
Reneta,4,0
Renette,12,0
Renfeng,2,0
Rengin,22,0
Renginar,4,0
Renia,10,0
Renilda,2,0
Renim,4,0
Renin,4,0
Renisa,4,0
Renisha,2,0
Renita,29,0
Renitha,3,0
Renja,33,0
Renna,2,0
Renné,5,0
Renoo,8,0
Renske,15,0
Renu,53,0
Renugadevi,2,0
Renuka,29,0
Renwa,2,0
Reny,4,0
Renya,4,0
Reona,2,0
Rerai,3,0
Resada,2,0
Resal,2,0
Resala,2,0
Resalah,3,0
Resel,2,0
Resha,7,0
Reshadije,2,0
Reshan,2,0
Reshika,2,0
Reshin,5,0
Reshma,30,0
Reshna,2,0
Reshu,3,0
Resi,2,0
Resida,4,0
Resma,2,0
Resmia,3,0
Resmie,7,0
Resmija,11,0
Resmije,58,0
Resmiye,7,0
Respina,3,0
Ressa,2,0
Restituta,2,0
Resty,3,0
Retag,27,0
Retage,2,0
Retaj,66,0
Retal,43,0
Retan,2,0
Retchel,2,0
Reti,2,0
Retil,2,0
Rettal,2,0
Retzina,4,0
Rewa,13,0
Reva,22,0
Rewaa,2,0
Rewadee,7,0
Rewas,2,0
Revathi,8,0
Revathy,5,0
Revati,3,0
Rewda,2,0
Reveka,2,0
Revekka,8,0
Reven,2,0
Rewina,2,0
Revina,2,0
Revsan,2,0
Rewsen,2,0
Rexhije,2,0
Rexhina,4,0
Reya,8,0
Reyah,3,0
Reyam,14,0
Reyhana,10,0
Reyhane,21,0
Reyhaneh,43,0
Reyna,22,0
Reynalda,3,0
Reynalyn,3,0
Reyyan,13,0
Rezana,3,0
Rezarta,30,0
Rezearta,3,0
Rezenet,3,0
Rezhaw,2,0
Rezheen,9,0
Rezhna,8,0
Rezija,27,0
Rezin,5,0
Rezina,2,0
Rezna,2,0
Rezwana,6,0
Rezvaneh,7,0
Rezzan,3,0
Rgad,2,0
Rgat,12,0
Rgbe,10,0
Rgbey,2,0
Rgeat,2,0
Rhab,2,0
Rhaf,5,0
Rhaine,2,0
Rham,3,0
Rhana,2,0
Rhea,38,0
Rhealyn,3,0
Rheanna,3,0
Rhebecca,2,0
Rhené,3,0
Rhia,2,0
Rhian,7,0
Rhiana,3,0
Rhianna,2,0
Rhiannon,20,0
Rhimou,3,0
Rhina,3,0
Rhita,3,0
Rhoda,28,0
Rhode,17,0
Rhodora,16,0
Rhona,11,0
Rhonda,17,0
Rhonja,2,0
Rhsti,4,0
Ria,71,0
Rialda,11,0
Riam,36,0
Riana,34,0
Rianna,21,0
Rianne,20,0
Rianthong,2,0
Riba,2,0
Ribana,8,0
Ribecca,2,0
Ribka,7,0
Riborg,3,0
Ricarda,13,0
Ricardina,2,0
Ricel,2,0
Richa,39,0
Richel,5,0
Richell,2,0
Richelle,17,0
Richlove,2,0
Riddhi,7,0
Riddhima,2,0
Ridhi,7,0
Ridhika,3,0
Ridhima,2,0
Ridita,2,0
Ridwa,2,0
Ridwana,3,0
Rie,25,0
Rieke,5,0
Rieko,3,0
Riem,6,0
Riema,2,0
Riena,2,0
Rifa,16,0
Rifaa,3,0
Rifadi,2,0
Rifadie,3,0
Rifadije,9,0
Rifah,6,0
Rifal,2,0
Rifaya,2,0
Rifeta,7,0
Riffat,23,0
Rifka,2,0
Rifqa,9,0
Riga,5,0
Rigat,55,0
Rigbe,16,0
Rigeat,2,0
Rigemor,3,0
Rigersa,2,0
Rigiat,2,0
Rigibe,2,0
Rigina,3,0
Rigita,2,0
Rigmor,1745,0
Rigona,6,0
Rihaam,18,0
Rihaana,2,0
Rihab,129,0
Rihama,2,0
Rihana,59,0
Rihane,2,0
Rihaneh,7,0
Rihani,9,0
Rihanna,103,0
Rihanne,2,0
Rihem,4,0
Riia,3,0
Riika,4,0
Riikka,82,0
Riikka-Liisa,2,0
Riim,8,0
Riima,3,0
Riin,3,0
Riina,71,0
Riish,2,0
Riita,17,0
Riitta,1031,0
Riitta Liisa,4,0
Riitta-Leena,9,0
Riitta-Liisa,62,0
Riitta-Maija,4,0
Rija,7,0
Rijada,2,0
Rijalda,11,0
Rijana,4,0
Rijja,3,0
Rika,33,0
Rikako,2,0
Riken,2,0
Rikia,3,0
Rikka,2,0
Rikke,126,0
Rila,2,0
Rilda,2,0
Rilinda,8,0
Rilke,3,0
Rima,907,0
Rimaas,5,0
Rimah,7,0
Rimana,3,0
Rimanda,2,0
Rimante,8,0
Rimanté,3,0
Rimaz,26,0
Rime,6,0
Rimeh,2,0
Rimella,2,0
Rimen,2,0
Rimes,3,0
Rimey,2,0
Rimm,3,0
Rimma,41,0
Rimna,6,0
Rimo,2,0
Rimona,9,0
Rimonda,17,0
Rimounda,3,0
Rimsha,19,0
Rimute,4,0
Rimy,2,0
Rina,256,0
Rinaad,2,0
Rinada,3,0
Rinalyn,2,0
Rinam,2,0
Rinan,5,0
Rinata,7,0
Rinchen,2,0
Rind,6,0
Rinda,14,0
Rinde,3,0
Rindi,5,0
Riné,3,0
Rinea,3,0
Rinesa,52,0
Rineta,7,0
Rinette,2,0
Ringmor,18,0
Ringvor,9,0
Rini,11,0
Rinita,2,0
Rinjeta,2,0
Rinki,4,0
Rinlada,2,0
Rinna,6,0
Rinnie,5,0
Rinoa,3,0
Rinora,11,0
Rinrada,4,0
Rinske,4,0
Rinya,2,0
Riola,2,0
Riona,24,0
Ripa,6,0
Ripsime,2,0
Rira,3,0
Risa,19,0
Risala,4,0
Risan,2,0
Risha,15,0
Rishika,7,0
Rishita,9,0
Rishma,3,0
Risikat,3,0
Ristana,2,0
Risten,2,0
Ristin,6,0
Rita,3076,0
Ritaaj,6,0
Ritadj,2,0
Ritag,25,0
Ritage,7,0
Ritah,14,0
Ritaj,110,0
Rital,89,0
Ritall,5,0
Rita-Maarit,2,0
Rita-Maria,2,0
Rita-May,2,0
Ritchelle,7,0
Ritej,3,0
Ritell,3,0
Ritha,101,0
Rithika,4,0
Rithu,2,0
Rithva,5,0
Rithwa,2,0
Riti,2,0
Ritika,19,0
Ritisha,2,0
Ritma,2,0
Rito,2,0
Ritsa,5,0
Ritta,158,0
Rittal,18,0
Ritthika,2,0
Rittva,3,0
Ritu,36,0
Rituparna,6,0
Ritva,1647,0
Ritwa,21,0
Ritva Liisa,2,0
Ritva-Leena,4,0
Ritva-Liisa,23,0
Ritwika,2,0
Ritza,3,0
Ritzel,3,0
Ritzi,2,0
Riuana,4,0
Riva,21,0
Riwa,3,0
Riwaa,4,0
Rivana,9,0
Riwana,3,0
Rive,2,0
Rivin,2,0
Rivka,4,0
Rixt,3,0
Riya,24,0
Riyaana,2,0
Riyaaq,6,0
Riyak,5,0
Riyakh,3,0
Riyana,9,0
Riyanna,3,0
Riyanshi,4,0
Riyaq,9,0
Riz,3,0
Rizafeta,3,0
Rizagul,4,0
Rizalyn,2,0
Rizana,2,0
Rizegol,3,0
Riziki,5,0
Rizky,2,0
Rizuana,4,0
Rizvana,3,0
Rizwana,29,0
Rizza,9,0
Rjaa,2,0
Rkia,11,0
Rnad,3,0
Rnd,2,0
Rnda,5,0
Rnim,3,0
Ro,6,0
Roa,43,0
Roaa,103,0
Roa'a,9,0
Roah,10,0
Roaida,9,0
Roana,4,0
Robab,19,0
Robaba,8,0
Robabah,5,0
Robabe,6,0
Robabeh,46,0
Robeena,2,0
Robelyn,4,0
Roberta,171,0
Robertina,8,0
Robia,3,0
Robiin,2,0
Robika,2,0
Robina,83,0
Robinah,10,0
Robine,24,0
Robinne,3,0
Robiya,7,0
Robiyabonu,3,0
Robiyahon,4,0
Robiyakhon,4,0
Rochan,2,0
Rochelle,31,0
Rochin,2,0
Rocio,114,0
Rocío,4,0
Rocita,3,0
Rockya,2,0
Rocsana,2,0
Rodaena,2,0
Rodah,4,0
Rodaina,13,0
Rodalyn,2,0
Rodana,3,0
Rodanthi,2,0
Rodayna,3,0
Rodcharin,2,0
Rodea,2,0
Rodeen,5,0
Rodeina,3,0
Rodelyn,3,0
Rodet,2,0
Rodha,3,0
Rodho,2,0
Rodia,3,0
Rodica,118,0
Rodica-Mariana,2,0
Rodika,4,0
Rodina,53,0
Rodjana,5,0
Rodjin,2,0
Rodlin,2,0
Rodna,10,0
Rodo,13,0
Rodothea,2,0
Rodoula,4,0
Roea,2,0
Roeda,3,0
Roeida,2,0
Roela,3,0
Roelfina,2,0
Roelfke,2,0
Roeya,3,0
Rofah,2,0
Rofaida,10,0
Rofand,4,0
Rofayda,3,0
Rofia,5,0
Rofida,3,0
Rofina,2,0
Rofta,3,0
Rogaya,3,0
Rogayah,2,0
Rogelia,3,0
Rogeria,3,0
Rogette,2,0
Roghaieh,3,0
Roghaiyeh,2,0
Roghaya,3,0
Roghaye,5,0
Roghayeh,32,0
Roghayyeh,5,0
Rogheyyeh,2,0
Roghie,4,0
Roghieh,45,0
Roghiye,3,0
Roghiyeh,6,0
Roghyeh,3,0
Rogia,2,0
Rogie,2,0
Rogieh,2,0
Rogin,6,0
Rogina,10,0
Rogini,2,0
Rogiyo,2,0
Roha,19,0
Rohafza,2,0
Rohaifa,2,0
Rohangiz,10,0
Rohani,3,0
Rohanna,3,0
Rohaya,2,0
Rohde,6,0
Rohela,2,0
Rohena,2,0
Rohey,44,0
Roheyatou,2,0
Rohia,2,0
Rohie,6,0
Rohif,3,0
Rohina,21,0
Rohini,24,0
Rohiv,3,0
Rohlat,5,0
Rohnak,2,0
Roia,6,0
Roiana,4,0
Roida,4,0
Roina,9,0
Roisin,8,0
Róisín,2,0
Roiya,3,0
Roja,50,0
Rojana,5,0
Rojano,2,0
Rojchana,2,0
Rojda,75,0
Rojeen,11,0
Roji,3,0
Rojin,196,0
Rojina,18,0
Rojjana,2,0
Rojna,5,0
Rokaia,34,0
Rokaiah,2,0
Rokaija,2,0
Rokaja,11,0
Rokaya,57,0
Rokea,4,0
Rokeia,4,0
Rokeja,2,0
Roken,7,0
Rokeya,16,0
Rokhaya,6,0
Rokhosh,11,0
Rokhsana,4,0
Rokhsaneh,2,0
Rokhsar,15,0
Rokhsareh,15,0
Rokhshana,2,0
Rokia,24,0
Rokiatou,2,0
Rokie,5,0
Rokiya,2,0
Rokosh,3,0
Roksana,133,0
Roksanda,2,0
Rokshana,5,0
Roksolana,7,0
Rokstan,2,0
Rokya,3,0
Rola,209,0
Rolaf,2,0
Rolah,2,0
Rolana,3,0
Rolanda,10,0
Rolav,2,0
Roleen,3,0
Rolen,2,0
Rolian,3,0
Rolin,6,0
Rolina,2,0
Roline,2,0
Rolla,15,0
Rolyan,3,0
Rolyana,2,0
Romaf,2,0
Romaine,3,0
Romaisa,6,0
Romaisae,2,0
Romaissa,2,0
Romalyn,2,0
Romana,119,0
Romanca,6,0
Romance,2,0
Romane,9,0
Romav,2,0
Romaysa,6,0
Romeisa,4,0
Romejsa,2,0
Romelia,3,0
Romelita,2,0
Romella,3,0
Romena,4,0
Romesa,4,0
Romia,2,0
Romiana,7,0
Romie,2,0
Romila,6,0
Romina,251,0
Romine,2,0
Romineh,2,0
Romisa,5,0
Romita,3,0
Romualda,22,0
Romute,2,0
Rona,71,0
Ronah,3,0
Ronahi,38,0
Ronahy,2,0
Ronai,3,0
Ronalyn,3,0
Ronaz,7,0
Ronda,11,0
Rondak,2,0
Rondek,13,0
Rondik,16,0
Rondk,6,0
Ronea,2,0
Ronek,2,0
Ronela,5,0
Ronette,6,0
Rongfen,3,0
Ronghui,2,0
Rongqing,3,0
Rongrong,6,0
Ronia,122,0
Ronica,8,0
Ronida,6,0
Ronija,9,0
Ronika,13,0
Ronina,2,0
Ronisha,2,0
Ronita,7,0
Roniya,7,0
Ronjah,3,0
Ronjalee,2,0
Ronja-Li,2,0
Ronja-Maria,2,0
Ronja-Mi,3,0
Ronna,4,0
Ronnia,3,0
Ronnja,2,0
Ronnya,2,0
Ronya,264,0
Ronyah,12,0
Ronza,33,0
Roo,3,0
Rooa,7,0
Roobi,2,0
Roobina,4,0
Rooda,31,0
Roodabeh,5,0
Roodo,10,0
Roohangiz,5,0
Roohi,6,0
Rookhosh,2,0
Rooma,4,0
Roon,3,0
Roona,2,0
Roonak,12,0
Roonglawan,2,0
Roongnapha,2,0
Roongratree,2,0
Roopa,8,0
Roopali,5,0
Roopam,2,0
Roopashree,3,0
Roos,13,0
Roosa,27,0
Roosamari,2,0
Roosa-Maria,3,0
Roose-Marie,5,0
Rooshan,4,0
Roosi,4,0
Roosie,2,0
Roosje,2,0
Roos-Marie,9,0
Roosmarijn,4,0
Rooz,8,0
Ropak,5,0
Ropel,2,0
Ropina,3,0
Roqaia,7,0
Roqaieh,2,0
Roqaiya,2,0
Roqaya,23,0
Roqayah,2,0
Roqaye,3,0
Roqeia,3,0
Roqeya,2,0
Roqia,47,0
Roqiya,6,0
Roqya,4,0
Rora,3,0
Rori,5,0
Ros,52,0
Ros Mari,7,0
Ros Marie,8,0
Rosa,1567,0
Rósa,9,0
Rosa Cecilia,2,0
Rosa Maria,21,0
Rosa Marie,2,0
Rosabel,4,0
Rosabella,5,0
Rosa-Britt,3,0
Rosalba,24,0
Rosalee,10,0
Rosaleen,8,0
Rosali,26,0
Rosa-Li,5,0
Rosalia,59,0
Rosália,2,0
Rosalie,265,0
Rosa-Lie,6,0
Rosaliina,3,0
Rosalija,3,0
Rosalill,13,0
Rosa-Lill,20,0
Rosalin,23,0
Rosalina,37,0
Rosalind,20,0
Rosalinda,62,0
Rosa-Linda,3,0
Rosalinde,6,0
Rosaline,24,0
Rosalinn,10,0
Rosa-Linn,3,0
Rosalita,6,0
Rosaly,3,0
Rosalyn,15,0
Rosalynn,4,0
Rosamaria,6,0
Rosa-Maria,13,0
Rosa-Marie,3,0
Rosamon,2,0
Rosana,64,0
Rosanda,6,0
Rosane,5,0
Rosangel,2,0
Rosangela,20,0
Rosania,2,0
Rosanna,495,0
Rosanne,30,0
Rosaria,17,0
Rosarin,4,0
Rosaura,7,0
Rosavilla,2,0
Rosbritt,5,0
Ros-Britt,10,0
Roschan,2,0
Rosé,4,0
Rose,814,0
Rose Maj,3,0
Rose Mari,8,0
Rose Maria,4,0
Rose Marie,136,0
Rose Mary,6,0
Roseane,3,0
Rose-Anna,2,0
Roseanna,12,0
Rose-Anne,2,0
Roseanne,11,0
Rose-Britt,13,0
Roseel,4,0
Rosel,72,0
Rosela,11,0
Roseli,11,0
Roselia,3,0
Roselie,12,0
Rose-Lill,2,0
Roselin,11,0
Roselind,2,0
Roseline,25,0
Roselita,3,0
Rosell,6,0
Rosella,26,0
Roselle,7,0
Rosely,6,0
Roselyn,23,0
Roselyne,6,0
Roselynn,3,0
Rose-Maj,14,0
Rosemari,36,0
Rose-Mari,248,0
Rose-Maria,14,0
Rosemaria,2,0
Rose-Marianne,3,0
RoseMarie,376,0
Rose-Marie,5203,0
Rosemary,124,0
Rose-Mary,19,0
Rose-Marye,2,0
Rose-May,8,0
Rosemeire,2,0
Rosemond,4,0
Rosena,3,0
Rosenda,2,0
Rosengaard,2,0
Roser,3,0
Roserin,2,0
Rosetta,10,0
Rosette,36,0
Rosey,5,0
Rosha,11,0
Roshaan,2,0
Roshana,8,0
Roshanak,44,0
Roshang,4,0
Roshani,7,0
Roshe,2,0
Roshelle,3,0
Roshen,7,0
Roshild,2,0
Roshin,20,0
Roshine,3,0
Roshini,10,0
Roshna,58,0
Roshni,23,0
