Contestant,Voter,Score,Artist,Song,Year
Hungary,Serbia,2,ByeAlex,Kedvesem (Zoohacker Remix),2013
Belgium,Serbia,3,Roberto Bellarosa,Love Kills,2013
Italy,Serbia,4,Marco Mengoni,L'essenziale,2013
Azerbaijan,Serbia,5,Farid Mammadov,Hold Me,2013
Moldova,Serbia,6,Aliona Moon,O mie,2013
Norway,Serbia,7,Margaret Berger,I Feed You My Love,2013
Russia,Serbia,8,Dina Garipova,What If,2013
Ukraine,Serbia,10,Zlata Ognevich,Gravity,2013
Denmark,Serbia,12,Emmelie de Forest,Only Teardrops,2013
United Kingdom,Slovenia,1,Bonnie Tyler,Believe in Me,2013
Belgium,Slovenia,2,Roberto Bellarosa,Love Kills,2013
Azerbaijan,Slovenia,3,Farid Mammadov,Hold Me,2013
Iceland,Slovenia,4,Eythor Ingi,Ég á líf,2013
Norway,Slovenia,5,Margaret Berger,I Feed You My Love,2013
Sweden,Slovenia,6,Robin Stjernberg,You,2013
Netherlands,Slovenia,7,Anouk,Birds,2013
Italy,Slovenia,8,Marco Mengoni,L'essenziale,2013
Russia,Slovenia,10,Dina Garipova,What If,2013
Denmark,Slovenia,12,Emmelie de Forest,Only Teardrops,2013
Malta,Spain,1,Gianluca,Tomorrow,2013
Moldova,Spain,2,Aliona Moon,O mie,2013
Germany,Spain,3,Cascada,Glorious,2013
United Kingdom,Spain,4,Bonnie Tyler,Believe in Me,2013
Norway,Spain,5,Margaret Berger,I Feed You My Love,2013
Russia,Spain,6,Dina Garipova,What If,2013
Azerbaijan,Spain,7,Farid Mammadov,Hold Me,2013
Denmark,Spain,8,Emmelie de Forest,Only Teardrops,2013
Ukraine,Spain,10,Zlata Ognevich,Gravity,2013
Italy,Spain,12,Marco Mengoni,L'essenziale,2013
United Kingdom,Sweden,1,Bonnie Tyler,Believe in Me,2013
Ireland,Sweden,2,Ryan Dolan,Only Love Survives,2013
Hungary,Sweden,3,ByeAlex,Kedvesem (Zoohacker Remix),2013
Romania,Sweden,4,Cezar,It's My Life,2013
Russia,Sweden,5,Dina Garipova,What If,2013
Iceland,Sweden,6,Eythor Ingi,Ég á líf,2013
Belgium,Sweden,7,Roberto Bellarosa,Love Kills,2013
Netherlands,Sweden,8,Anouk,Birds,2013
Denmark,Sweden,10,Emmelie de Forest,Only Teardrops,2013
Norway,Sweden,12,Margaret Berger,I Feed You My Love,2013
Germany,Switzerland,1,Cascada,Glorious,2013
United Kingdom,Switzerland,2,Bonnie Tyler,Believe in Me,2013
Denmark,Switzerland,3,Emmelie de Forest,Only Teardrops,2013
Netherlands,Switzerland,4,Anouk,Birds,2013
Iceland,Switzerland,5,Eythor Ingi,Ég á líf,2013
Azerbaijan,Switzerland,6,Farid Mammadov,Hold Me,2013
Norway,Switzerland,7,Margaret Berger,I Feed You My Love,2013
Greece,Switzerland,8,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Hungary,Switzerland,10,ByeAlex,Kedvesem (Zoohacker Remix),2013
Italy,Switzerland,12,Marco Mengoni,L'essenziale,2013
Lithuania,Ukraine,1,Andrius Pojavis,Something,2013
Malta,Ukraine,2,Gianluca,Tomorrow,2013
Norway,Ukraine,3,Margaret Berger,I Feed You My Love,2013
Russia,Ukraine,4,Dina Garipova,What If,2013
Denmark,Ukraine,5,Emmelie de Forest,Only Teardrops,2013
Armenia,Ukraine,6,Dorians,Lonely Planet,2013
Georgia,Ukraine,7,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Moldova,Ukraine,8,Aliona Moon,O mie,2013
Azerbaijan,Ukraine,10,Farid Mammadov,Hold Me,2013
Belarus,Ukraine,12,Alyona Lanskaya,Solayoh,2013
Ireland,United Kingdom,1,Ryan Dolan,Only Love Survives,2013
Iceland,United Kingdom,2,Eythor Ingi,Ég á líf,2013
Belgium,United Kingdom,3,Roberto Bellarosa,Love Kills,2013
Romania,United Kingdom,4,Cezar,It's My Life,2013
Ukraine,United Kingdom,5,Zlata Ognevich,Gravity,2013
Netherlands,United Kingdom,6,Anouk,Birds,2013
Malta,United Kingdom,7,Gianluca,Tomorrow,2013
Greece,United Kingdom,8,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Russia,United Kingdom,10,Dina Garipova,What If,2013
Denmark,United Kingdom,12,Emmelie de Forest,Only Teardrops,2013
